State;Total Number of Congregations;Total Number of Adherents;Rates of Adherence per 1,000 Population;Percent of Adherents;Highly religious;Square kilometers
Alabama;10514;3007553;629,23;0,62923;0,77;135767
Alaska;1246;240833;339,09;0,33909;0,45;1723337
Arizona;4673;2379928;372,33;0,37233;0,53;295234
Arkansas;6697;1614357;553,64;0,55364;0,7;137732
California;23558;16765751;450,04;0,45004;0,49;423972
Colorado;4188;1902282;378,25;0,37825;0,47;269601
Connecticut;2597;1830862;512,26;0,51226;0,43;14357
Delaware;831;374917;417,53;0,41753;0,52;6446
District of Columbia;609;332342;552,32;0,55232;0,53;177
Florida;15611;7357588;391,33;0,39133;0,54;170312
Georgia;12292;4924376;508,31;0,50831;0,66;15391
Hawaii;1314;561980;413,13;0,41313;0,47;28313
Idaho;2427;801655;511,4;0,5114;0,51;216443
Illinois;12453;7094832;552,96;0,55296;0,51;149995
Indiana;9061;2874144;443,28;0,44328;0,54;94326
Iowa;5107;1642344;539,12;0,53912;0,55;145746
Kansas;4782;1444455;506,27;0,50627;0,55;2131
Kentucky;7745;2237714;515,68;0,51568;0,63;104656
Louisiana;5841;2746897;605,93;0,60593;0,71;135659
Maine;1574;367043;276,31;0,27631;0,34;91633
Maryland;5336;2415376;418,35;0,41835;0,54;32131
Massachusetts;4200;3748058;572,43;0,57243;0,33;27336
Michigan;9521;4165343;421,44;0,42144;0,53;250487
Minnesota;5953;2986450;563,06;0,56306;0,49;225163
Mississippi;6765;1742916;587,37;0,58737;0,77;125438
Missouri;9001;2950894;492,72;0,49272;0,6;18054
Montana;1778;376976;381,01;0,38101;0,48;380831
Nebraska;2860;1016529;556,59;0,55659;0,54;20033
Nevada;1392;927955;343,62;0,34362;0,49;28638
New Hampshire;1025;462772;351,52;0,35152;0,33;24214
New Jersey;6114;4809520;547,04;0,54704;0,55;22591
New Mexico;2447;1031198;500,78;0,50078;0,57;314917
New York;14110;9923512;512,1;0,5121;0,46;141297
North Carolina;15737;4530365;475,11;0,47511;0,65;139391
North Dakota;1498;451456;671,22;0,67122;0,53;183108
Ohio;13606;5071684;439,62;0,43962;0,58;116098
Oklahoma;7057;2226379;593,49;0,59349;0,66;181037
Oregon;4026;1194793;311,87;0,31187;0,48;254799
Pennsylvania;15359;6838440;538,36;0,53836;0,53;11928
Rhode Island;677;576919;548,11;0,54811;0,49;4001
South Carolina;8051;2413443;521,78;0,52178;0,7;82933
South Dakota;1819;476832;585,66;0,58566;0,59;199729
Tennessee;11542;3522345;555,04;0,55504;0,73;109153
Texas;27848;13994564;556,54;0,55654;0,64;695662
Utah;5557;2186403;791,06;0,79106;0,64;219882
Vermont;854;210391;336,23;0,33623;0,34;24906
Virginia;10088;3586592;448,27;0,44827;0,61;110787
Washington;6114;2328005;346,2;0,3462;0,45;184661
West Virginia;4413;658313;355,27;0,35527;0,69;62756
Wisconsin;6078;3047442;535,86;0,53586;0,45;169635
Wyoming;948;223074;395,78;0,39578;0,54;253335
